,Descrição,Valor,Deputado,Data
0,Combustíveis e Lubrificantes Automotivos,"6.000,00",ADERLANIA NORONHA,01/01/2019
1,Vale-Refeição e Vale-Alimentação,"5.000,00",ADERLANIA NORONHA,01/01/2019
2,Combustíveis e Lubrificantes Automotivos,"6.000,00",AUDIC MOTA,01/01/2019
3,Divulgação das Atividades Parlamentares,"4.100,00",AUDIC MOTA,01/01/2019
4,Seguros em Geral,"504,04",AUDIC MOTA,01/01/2019
5,Serviços Gráficos e Editoriais,"15.684,20",AUDIC MOTA,01/01/2019
6,Serviços Técnicos Profissionais,"3.000,00",AUDIC MOTA,01/01/2019
7,Vale-Refeição e Vale-Alimentação,"5.000,00",AUDIC MOTA,01/01/2019
8,Combustíveis e Lubrificantes Automotivos,"6.000,00",BRUNO GONCALVES,01/01/2019
9,Vale-Refeição e Vale-Alimentação,"4.000,00",BRUNO GONCALVES,01/01/2019
10,Combustíveis e Lubrificantes Automotivos,"6.000,00",BRUNO PEDROSA,01/01/2019
11,Divulgação das Atividades Parlamentares,"8.450,00",BRUNO PEDROSA,01/01/2019
12,Serviços Técnicos Profissionais,"8.280,00",BRUNO PEDROSA,01/01/2019
13,Vale-Refeição e Vale-Alimentação,"2.000,00",BRUNO PEDROSA,01/01/2019
14,Combustíveis e Lubrificantes Automotivos,"6.000,00",CAPITAO WAGNER,01/01/2019
15,Convênio com Plano de Saúde,"3.861,14",CAPITAO WAGNER,01/01/2019
16,Hospedagens,"420,00",CAPITAO WAGNER,01/01/2019
17,Outros Serviços de Terceiros - Pessoa Jurídica,"630,00",CAPITAO WAGNER,01/01/2019
18,Passagens Aéreas,"4.235,05",CAPITAO WAGNER,01/01/2019
19,Serviços Gráficos e Editoriais,"6.974,08",CAPITAO WAGNER,01/01/2019
20,Serviços de Telecomunicações,"2.243,81",CAPITAO WAGNER,01/01/2019
21,Vale-Refeição e Vale-Alimentação,"5.000,00",CAPITAO WAGNER,01/01/2019
22,Combustíveis e Lubrificantes Automotivos,"6.000,00",CARLOS FELIPE,01/01/2019
23,Outros Serviços de Terceiros - Pessoa Jurídica,"198,67",CARLOS FELIPE,01/01/2019
24,Passagens Aéreas,"7.618,15",CARLOS FELIPE,01/01/2019
25,Vale-Refeição e Vale-Alimentação,"5.000,00",CARLOS FELIPE,01/01/2019
26,Combustíveis e Lubrificantes Automotivos,"4.000,00",CARLOS MATOS,01/01/2019
27,Convênio com Plano de Saúde,"3.000,02",CARLOS MATOS,01/01/2019
28,Despesas de Teleprocessamento,"2.363,79",CARLOS MATOS,01/01/2019
29,Hospedagens,"468,83",CARLOS MATOS,01/01/2019
30,Locação de Veículos,"2.070,56",CARLOS MATOS,01/01/2019
31,Outros Serviços de Terceiros - Pessoa Jurídica,"6.586,35",CARLOS MATOS,01/01/2019
32,Passagens Aéreas,"5.056,65",CARLOS MATOS,01/01/2019
33,Vale-Refeição e Vale-Alimentação,"5.000,00",CARLOS MATOS,01/01/2019
34,Combustíveis e Lubrificantes Automotivos,"6.000,00",DEDE TEIXEIRA,01/01/2019
35,Hospedagens,"330,01",DEDE TEIXEIRA,01/01/2019
36,Locação de Veículos,"6.000,00",DEDE TEIXEIRA,01/01/2019
37,Serviços Gráficos e Editoriais,"10.074,24",DEDE TEIXEIRA,01/01/2019
38,Serviços Técnicos Profissionais,"13.140,00",DEDE TEIXEIRA,01/01/2019
39,Vale-Refeição e Vale-Alimentação,"5.000,00",DEDE TEIXEIRA,01/01/2019
