DR. LUCÍLVIO GIRÃO	PP	42.955  SUPLENTE
DUQUINHA	PDT	42.437  SUPLENTE
ORIEL NUNES FILHO	PDT	39.474  SUPLENTE
FERREIRA ARAGÃO	PDT	37.094  SUPLENTE
ADAIL JUNIOR	PDT	36.064  SUPLENTE
JOSBERTINI	PDT	32.823  SUPLENTE
BETHROSE	PP	21.087  SUPLENTE
LUCINILDO FROTA	PR	10.810  SUPLENTE
PROF. PESSOA	DEM	6.313   SUPLENTE
ALEMÃO	PP	4.572   SUPLENTE
LÍVIA MAIA	DEM	4.135   SUPLENTE
LUCIANO GIRAO	PDT	3.587   SUPLENTE
BOMBOM	PR	3.560   SUPLENTE
DR. ROBERTO SAMPAIO	PDT	3.329   SUPLENTE
DRA WELIA PINHO	PR	3.105   SUPLENTE
BRUNO BENEVIDES	PDT	2.611   SUPLENTE
BRUNA RIBEIRO TELES	PDT	1.266   SUPLENTE
ELANIO DE SOUZA	PR	1.149   SUPLENTE
DANIEL ROMÃO	PDT	1.019   SUPLENTE
VANESSA VENÂNCIO	PDT	776 SUPLENTE
ARNETE BORGES	PDT	731 SUPLENTE
JB	PR	639 SUPLENTE
EVANIO GUEDES	PR	545 SUPLENTE
NILDO SOBRAL	PR	489 SUPLENTE
AURENY BRAGA	PR	449 SUPLENTE
BATISTA MOTA	PRP	438 SUPLENTE
PROFESSORA ERONILDE RABELO	DEM	402 SUPLENTE
GONY ARRUDA	PP	362 SUPLENTE
ANGELITA MAGALHÃES	DEM	337 SUPLENTE
MARA SANTOS	PR	278 SUPLENTE
ROSIMAR MARQUES	DEM	236 SUPLENTE
PROFESSORA SOCORRO BESSA	PR	224 SUPLENTE
MARIINHA COELHO	PDT	217 SUPLENTE
JUNIOR BABY	DEM	122 SUPLENTE
GLEICIANE GOMES	DEM	107 SUPLENTE
LUIZ HOLANDA	DEM	48  SUPLENTE
